subscriber_id,birthday,gender,handset_vendor,region,price_plan,price_plan_monthly_fee,ARPU
1,1975-04-19,"MALE","Huawei","Brestskaya","Plan1",20.712000,43.075200
2,1974-02-03,"MALE","Samsung","Minsk","Plan1",20.712000,20.712000
3,1968-03-09,"FEMALE","Huawei","Gomelskaya","Plan1",20.712000,20.712000
4,2001-02-12,"MALE","Xiaomi","Mogilevskaya","Plan3",12.312000,17.544000
5,1983-01-16,"MALE","Samsung","Minsk","Plan3",12.312000,12.312000
6,1990-06-04,"FEMALE","Samsung","Minsk","Plan1",20.712000,30.729600
7,1982-06-06,"FEMALE","Samsung","Minskaya","Plan1",20.712000,20.760000
8,1978-01-06,"FEMALE","Huawei","Gomelskaya","Plan3",12.312000,18.072000
9,1996-01-01,"FEMALE","Samsung","Gomelskaya","Plan1",20.712000,23.962000
10,1973-03-10,"FEMALE","Xiaomi","Gomelskaya","Plan3",12.312000,12.312000
11,1981-06-17,"MALE","Samsung","Gomelskaya","Plan1",20.712000,33.280000
12,1973-03-09,"FEMALE","Xiaomi","Brestskaya","Plan3",12.312000,18.051600
13,1958-03-17,"MALE","Huawei","Minsk","Plan1",20.712000,20.980800
14,1979-06-01,"MALE","Samsung","Minsk","Plan3",12.312000,19.752000
15,1961-03-05,"FEMALE","Samsung","Minskaya","Plan1",20.712000,43.112000
16,1995-01-01,"MALE","Xiaomi","Brestskaya","Plan1",20.712000,35.299200
17,1978-06-01,"FEMALE","Apple","Brestskaya","Plan2",14.808000,14.848000
18,1977-05-01,"FEMALE","Apple","Minskaya","Plan3",12.312000,20.832000
19,1969-01-07,"MALE","Xiaomi","Minskaya","Plan1",20.712000,20.712000
20,1986-02-20,"MALE","Xiaomi","Mogilevskaya","Plan3",12.312000,14.096000
21,2002-04-04,"MALE","Apple","Minsk","Plan2",14.808000,34.106000
22,1978-03-05,"FEMALE","Apple","Minsk","Plan3",12.312000,25.953600
23,1985-02-13,"FEMALE","Xiaomi","Grodnenskaya","Plan3",12.312000,22.166400
24,1980-03-03,"FEMALE","Apple","Gomelskaya","Plan3",12.312000,17.232000
25,1965-05-20,"FEMALE","Apple","Minskaya","Plan1",20.712000,23.899200
26,1976-04-01,"MALE","Apple","Minsk","Plan1",20.712000,23.144500
27,1971-07-08,"FEMALE","Apple","Mogilevskaya","Plan3",12.312000,28.504000
28,1991-04-07,"MALE","Huawei","Gomelskaya","Plan3",12.312000,32.545600
29,2001-02-06,"FEMALE","Apple","Vitebskaya","Plan2",14.808000,14.808000
30,1968-06-01,"FEMALE","Apple","Minsk","Plan3",12.312000,12.312000
31,1975-07-11,"FEMALE","Samsung","Mogilevskaya","Plan1",20.712000,37.865200
32,1975-03-06,"FEMALE","Apple","Minsk","Plan1",20.712000,20.712000
33,1993-06-05,"FEMALE","Apple","Minsk","Plan1",20.712000,43.520100
34,1954-03-05,"MALE","Apple","Mogilevskaya","Plan3",12.312000,18.784000
35,1999-06-17,"FEMALE","Apple","Minsk","Plan3",12.312000,22.224000
36,1997-01-02,"MALE","Apple","Minsk","Plan2",14.808000,25.520000
37,1959-03-09,"MALE","Samsung","Mogilevskaya","Plan3",12.312000,13.192000
38,1984-02-02,"FEMALE","Xiaomi","Grodnenskaya","Plan3",12.312000,16.704000
39,1964-04-09,"FEMALE","Samsung","Mogilevskaya","Plan3",12.312000,12.792000
40,1997-01-15,"MALE","Huawei","Brestskaya","Plan3",12.312000,28.102800
41,1999-02-20,"MALE","Samsung","Mogilevskaya","Plan3",12.312000,29.985600
42,1984-07-17,"MALE","Samsung","Minskaya","Plan1",20.712000,21.912000
43,1970-04-13,"MALE","Xiaomi","Minsk","Plan3",12.312000,15.792000
44,1982-03-13,"FEMALE","Huawei","Gomelskaya","Plan3",12.312000,12.312000
45,1989-04-06,"FEMALE","Huawei","Mogilevskaya","Plan1",20.712000,37.185600
46,1984-02-08,"FEMALE","Xiaomi","Gomelskaya","Plan1",20.712000,39.536000
47,1959-07-15,"FEMALE","Samsung","Minskaya","Plan3",12.312000,24.289600
48,1991-04-12,"MALE","Samsung","Minskaya","Plan1",20.712000,24.331200
49,1979-04-17,"MALE","Samsung","Minskaya","Plan1",20.712000,20.961600
50,1995-05-09,"MALE","Samsung","Minsk","Plan2",14.808000,20.192000
51,1984-01-17,"FEMALE","Samsung","Mogilevskaya","Plan1",20.712000,22.521600
52,1965-07-17,"FEMALE","Samsung","Minsk","Plan1",20.712000,30.120000
53,1999-05-12,"FEMALE","Samsung","Gomelskaya","Plan1",20.712000,21.273600
54,1999-04-02,"FEMALE","Samsung","Grodnenskaya","Plan3",12.312000,21.424000
55,1996-07-12,"MALE","Samsung","Gomelskaya","Plan2",14.808000,17.624000
56,1980-06-04,"MALE","Samsung","Minsk","Plan2",14.808000,19.032000
57,1984-07-15,"FEMALE","Samsung","Minsk","Plan3",12.312000,12.392000
58,1999-02-13,"MALE","Samsung","Minskaya","Plan1",20.712000,20.712000
59,1980-01-08,"FEMALE","Samsung","Gomelskaya","Plan3",12.312000,21.896000
60,1975-07-10,"FEMALE","Samsung","Minskaya","Plan1",20.712000,38.849600
61,1956-01-08,"MALE","Huawei","Brestskaya","Plan2",14.808000,35.572800
62,1985-03-15,"MALE","Huawei","Mogilevskaya","Plan1",20.712000,20.836800
63,1997-01-16,"MALE","Huawei","Minskaya","Plan2",14.808000,28.496000
64,1979-01-11,"FEMALE","Huawei","Gomelskaya","Plan1",20.712000,34.195600
65,1984-02-18,"FEMALE","Apple","Mogilevskaya","Plan2",14.808000,17.716800
66,1997-03-14,"FEMALE","Apple","Gomelskaya","Plan3",12.312000,28.382200
67,1977-01-01,"FEMALE","Xiaomi","Minsk","Plan3",12.312000,22.633600
68,1994-01-16,"MALE","Apple","Mogilevskaya","Plan1",20.712000,42.090900
69,1993-03-07,"FEMALE","Xiaomi","Minskaya","Plan1",20.712000,42.260800
70,1982-03-04,"MALE","Apple","Minskaya","Plan1",20.712000,21.432000
71,1974-02-16,"FEMALE","Apple","Mogilevskaya","Plan3",12.312000,12.932800
72,1983-02-09,"FEMALE","Xiaomi","Minsk","Plan4",11.232000,34.406400
73,1994-01-01,"FEMALE","Apple","Minsk","Plan1",20.712000,21.523200
74,1978-03-09,"MALE","Xiaomi","Gomelskaya","Plan1",20.712000,20.712000
75,1962-06-07,"MALE","Apple","Minsk","Plan1",20.712000,23.785600
76,1974-01-13,"MALE","Apple","Minsk","Plan1",20.712000,21.576000
77,1973-01-09,"FEMALE","Apple","Brestskaya","Plan3",12.312000,27.894400
78,1980-03-06,"MALE","Apple","Minsk","Plan3",12.312000,12.312000
79,1997-01-05,"FEMALE","Apple","Mogilevskaya","Plan2",14.808000,17.345600
80,1975-02-05,"FEMALE","Apple","Minskaya","Plan1",20.712000,28.276800
81,2000-04-14,"FEMALE","Xiaomi","Gomelskaya","Plan3",12.312000,12.312000
82,1980-05-09,"MALE","Apple","Mogilevskaya","Plan2",14.808000,19.816000
83,1985-01-11,"MALE","Xiaomi","Minskaya","Plan3",12.312000,16.744000
84,1999-03-07,"MALE","Apple","Mogilevskaya","Plan2",14.808000,14.848000
85,1985-03-05,"FEMALE","Xiaomi","Minsk","Plan1",20.712000,27.425600
86,1974-06-08,"FEMALE","Apple","Minsk","Plan1",20.712000,20.712000
87,1984-01-06,"MALE","Xiaomi","Mogilevskaya","Plan2",14.808000,14.808000
88,1982-05-05,"FEMALE","Apple","Gomelskaya","Plan3",12.312000,31.512000
89,1982-01-05,"FEMALE","Apple","Minskaya","Plan1",20.712000,20.774400
90,1986-04-03,"MALE","Apple","Minsk","Plan1",20.712000,38.745600
91,1988-06-11,"FEMALE","Xiaomi","Minskaya","Plan4",11.232000,17.723600
92,1975-04-08,"FEMALE","Apple","Mogilevskaya","Plan1",20.712000,49.332800
93,1998-01-01,"MALE","Apple","Minsk","Plan3",12.312000,12.312000
94,2001-04-08,"FEMALE","Apple","Minsk","Plan3",12.312000,24.043200
95,1979-02-03,"FEMALE","Apple","Minsk","Plan3",12.312000,12.782200
96,1983-02-05,"MALE","Apple","Mogilevskaya","Plan1",20.712000,34.211200
97,1982-04-01,"MALE","Apple","Minsk","Plan1",20.712000,29.281600
98,1983-03-17,"FEMALE","Xiaomi","Gomelskaya","Plan1",20.712000,27.492800
99,1978-04-07,"FEMALE","Apple","Mogilevskaya","Plan1",20.712000,22.920000
100,1991-01-18,"MALE","Xiaomi","Minsk","Plan1",20.712000,25.699200
101,1967-04-01,"MALE","Apple","Minsk","Plan2",14.808000,28.854400
102,1973-04-07,"MALE","Xiaomi","Minskaya","Plan1",20.712000,39.681600
103,1978-02-03,"MALE","Xiaomi","Mogilevskaya","Plan3",12.312000,18.704000
104,1979-02-07,"MALE","Apple","Gomelskaya","Plan3",12.312000,12.512000
105,1999-06-01,"MALE","Xiaomi","Minsk","Plan1",20.712000,23.145600
106,1984-06-08,"FEMALE","Apple","Minsk","Plan1",20.712000,25.112000
107,1986-02-01,"FEMALE","Xiaomi","Minsk","Plan1",20.712000,20.774400
108,1972-05-20,"MALE","Apple","Minsk","Plan2",14.808000,23.558000
109,1984-02-02,"MALE","Huawei","Mogilevskaya","Plan1",20.712000,40.392000
110,1973-06-11,"FEMALE","Apple","Minsk","Plan3",12.312000,20.438400
111,1998-02-17,"FEMALE","Huawei","Gomelskaya","Plan3",12.312000,14.142400
112,1998-04-01,"MALE","Huawei","Minsk","Plan2",14.808000,21.200000
113,1998-07-12,"MALE","Apple","Mogilevskaya","Plan3",12.312000,12.392000
114,1960-01-03,"FEMALE","Apple","Grodnenskaya","Plan3",12.312000,12.352000
115,1971-06-16,"FEMALE","Apple","Grodnenskaya","Plan3",12.312000,19.532800
116,1995-04-06,"FEMALE","Apple","Minsk","Plan1",20.712000,21.849600
117,1999-02-08,"FEMALE","Apple","Gomelskaya","Plan2",14.808000,14.848000
118,1968-04-08,"MALE","Xiaomi","Minskaya","Plan1",20.712000,31.870400
119,2001-03-05,"MALE","Apple","Minsk","Plan1",20.712000,20.712000
120,1946-04-06,"MALE","Xiaomi","Minskaya","Plan3",12.312000,44.500800
121,1977-02-14,"FEMALE","Apple","Mogilevskaya","Plan2",14.808000,16.008000
122,1973-02-03,"FEMALE","Xiaomi","Grodnenskaya","Plan3",12.312000,19.517600
123,1972-01-06,"FEMALE","Apple","Minsk","Plan1",20.712000,48.792000
124,1944-01-09,"MALE","Xiaomi","Minskaya","Plan1",20.712000,28.552000
125,1968-02-01,"FEMALE","Xiaomi","Gomelskaya","Plan2",14.808000,24.043200
126,1970-01-03,"MALE","Apple","Minsk","Plan2",14.808000,20.920000
127,1998-06-06,"MALE","Apple","Mogilevskaya","Plan3",12.312000,19.640000
128,1991-04-02,"FEMALE","Apple","Mogilevskaya","Plan1",20.712000,47.110400
129,1977-04-01,"MALE","Apple","Mogilevskaya","Plan1",20.712000,22.161000
130,1987-01-15,"FEMALE","Apple","Minsk","Plan3",12.312000,17.032000
131,1990-06-09,"FEMALE","Apple","Gomelskaya","Plan1",20.712000,37.708800
132,2001-02-03,"MALE","Apple","Mogilevskaya","Plan1",20.712000,21.128000
133,1977-01-03,"MALE","Apple","Minsk","Plan3",12.312000,13.112000
134,1983-03-06,"FEMALE","Apple","Minsk","Plan3",12.312000,26.008000
135,1991-01-02,"FEMALE","Apple","Mogilevskaya","Plan1",20.712000,41.905600
136,1997-02-07,"MALE","Apple","Minsk","Plan3",12.312000,15.929600
137,1978-01-11,"FEMALE","Apple","Vitebskaya","Plan3",12.312000,26.619200
138,1995-01-15,"FEMALE","Apple","Gomelskaya","Plan3",12.312000,12.312000
139,1980-01-11,"FEMALE","Apple","Minsk","Plan3",12.312000,13.393600
140,1976-04-06,"MALE","Apple","Minsk","Plan1",20.712000,20.784000
141,1986-05-02,"FEMALE","Apple","Minskaya","Plan3",12.312000,12.392000
142,1972-01-20,"MALE","Apple","Gomelskaya","Plan1",20.712000,32.584000
143,1964-03-09,"FEMALE","Apple","Minsk","Plan1",20.712000,21.072000
144,2000-04-08,"FEMALE","Apple","Mogilevskaya","Plan2",14.808000,20.334400
145,1987-01-01,"MALE","Apple","Minskaya","Plan2",14.808000,15.096000
146,1995-01-05,"FEMALE","Apple","Minsk","Plan2",14.808000,26.192000
147,1984-02-01,"FEMALE","Apple","Minsk","Plan3",12.312000,12.352000
148,2000-01-10,"MALE","Apple","Minsk","Plan2",14.808000,22.508800
149,1976-03-08,"FEMALE","Apple","Mogilevskaya","Plan1",20.712000,21.086400
150,1979-03-04,"MALE","Apple","Grodnenskaya","Plan3",12.312000,20.964800
151,1993-01-12,"MALE","Apple","Gomelskaya","Plan1",20.712000,32.523200
152,1998-02-09,"MALE","Apple","Minsk","Plan2",14.808000,16.910400
153,1961-06-04,"FEMALE","Apple","Minskaya","Plan3",12.312000,13.512000
154,1992-02-15,"MALE","Apple","Minsk","Plan1",20.712000,21.432000
155,2001-02-02,"MALE","Xiaomi","Minskaya","Plan1",20.712000,21.912000
156,1977-02-01,"MALE","Apple","Mogilevskaya","Plan1",20.712000,22.750400
157,1977-05-12,"FEMALE","Xiaomi","Minskaya","Plan2",14.808000,20.332800
158,1992-02-06,"MALE","Apple","Minsk","Plan1",20.712000,21.393600
159,1996-02-06,"MALE","Apple","Vitebskaya","Plan3",12.312000,17.032000
160,1971-02-15,"MALE","Apple","Gomelskaya","Plan3",12.312000,18.248000
161,1982-03-02,"MALE","Xiaomi","Minsk","Plan1",20.712000,21.268800
162,1977-07-21,"MALE","Apple","Minsk","Plan3",12.312000,15.104000
163,1950-03-11,"FEMALE","Xiaomi","Minsk","Plan1",20.712000,28.155200
164,1979-04-03,"FEMALE","Xiaomi","Gomelskaya","Plan1",20.712000,21.336000
165,1992-01-08,"MALE","Apple","Minskaya","Plan2",14.808000,16.288000
166,1960-03-06,"FEMALE","Xiaomi","Mogilevskaya","Plan3",12.312000,13.752000
167,1987-04-09,"FEMALE","Apple","Gomelskaya","Plan3",12.312000,12.561600
168,1989-03-08,"MALE","Xiaomi","Gomelskaya","Plan1",20.712000,20.712000
169,1971-04-01,"MALE","Apple","Minsk","Plan3",12.312000,17.504000
170,1979-04-01,"FEMALE","Xiaomi","Minsk","Plan3",12.312000,12.312000
171,1975-02-07,"MALE","Apple","Minsk","Plan3",12.312000,12.601600
172,1996-03-12,"FEMALE","Apple","Minsk","Plan3",12.312000,24.288000
173,1982-04-03,"MALE","Xiaomi","Minsk","Plan1",20.712000,39.568000
174,2000-07-19,"MALE","Apple","Gomelskaya","Plan2",14.808000,26.579200
175,1976-01-09,"FEMALE","Apple","Minskaya","Plan2",14.808000,14.808000
176,1973-06-15,"MALE","Xiaomi","Brestskaya","Plan3",12.312000,17.024000
177,1983-01-02,"MALE","Xiaomi","Gomelskaya","Plan3",12.312000,12.312000
178,1999-05-20,"FEMALE","Xiaomi","Mogilevskaya","Plan1",20.712000,32.240000
179,1996-04-19,"MALE","Apple","Gomelskaya","Plan3",12.312000,12.395200
180,1987-01-21,"FEMALE","Xiaomi","Minskaya","Plan1",20.712000,32.854400
181,1962-01-12,"MALE","Apple","Minsk","Plan1",20.712000,41.627600
182,1966-01-11,"FEMALE","Xiaomi","Minsk","Plan1",20.712000,20.860800
183,1983-01-07,"MALE","Xiaomi","Minsk","Plan1",20.712000,20.712000
184,1988-01-21,"FEMALE","Apple","Minsk","Plan1",20.712000,20.712000
185,2002-02-03,"MALE","Xiaomi","Gomelskaya","Plan2",14.808000,16.419200
186,1997-02-03,"MALE","Apple","Gomelskaya","Plan1",20.712000,21.460800
187,1987-01-16,"FEMALE","Xiaomi","Minsk","Plan3",12.312000,12.352000
188,1977-05-08,"FEMALE","Apple","Minsk","Plan3",12.312000,12.312000
189,1964-01-02,"MALE","Apple","Minskaya","Plan1",20.712000,21.082200
190,1973-04-12,"FEMALE","Xiaomi","Mogilevskaya","Plan3",12.312000,15.192000
191,1985-03-07,"FEMALE","Apple","Mogilevskaya","Plan3",12.312000,33.443200
192,1981-04-11,"FEMALE","Xiaomi","Minsk","Plan2",14.808000,15.048000
193,1982-02-07,"FEMALE","Apple","Mogilevskaya","Plan3",12.312000,15.881600
194,2000-06-07,"MALE","Apple","Minsk","Plan3",12.312000,12.312000
195,1978-03-07,"FEMALE","Xiaomi","Gomelskaya","Plan3",12.312000,12.312000
196,2000-04-19,"MALE","Apple","Minsk","Plan1",20.712000,29.016000
197,1982-02-13,"FEMALE","Xiaomi","Mogilevskaya","Plan2",14.808000,20.040000
198,1984-01-10,"MALE","Apple","Mogilevskaya","Plan1",20.712000,30.161600
199,1977-02-08,"FEMALE","Xiaomi","Minskaya","Plan3",12.312000,19.992000
200,1972-02-01,"FEMALE","Apple","Minsk","Plan1",20.712000,25.352000
201,1997-02-05,"MALE","Xiaomi","Minskaya","Plan1",20.712000,21.166400
202,1980-01-11,"FEMALE","Apple","Gomelskaya","Plan1",20.712000,22.166400
203,1975-04-16,"MALE","Xiaomi","Grodnenskaya","Plan3",12.312000,19.806400
204,1971-02-03,"MALE","Xiaomi","Minsk","Plan1",20.712000,33.299200
205,1976-03-05,"MALE","Apple","Minsk","Plan3",12.312000,12.312000
206,1982-01-11,"FEMALE","Apple","Gomelskaya","Plan1",20.712000,20.712000
207,1997-05-03,"MALE","Xiaomi","Minskaya","Plan1",20.712000,20.774400
208,2001-03-03,"FEMALE","Apple","Minsk","Plan1",20.712000,21.931200
209,1978-06-07,"MALE","Apple","Brestskaya","Plan3",12.312000,16.350800
210,1974-02-06,"FEMALE","Apple","Mogilevskaya","Plan1",20.712000,29.524400
211,1983-03-09,"FEMALE","Xiaomi","Grodnenskaya","Plan3",12.312000,25.992000
212,1981-02-08,"FEMALE","Xiaomi","Minskaya","Plan3",12.312000,24.352000
213,1996-03-16,"MALE","Apple","Mogilevskaya","Plan3",12.312000,12.312000
214,1984-04-07,"FEMALE","Xiaomi","Minsk","Plan1",20.712000,31.223600
215,1966-01-02,"MALE","Xiaomi","Mogilevskaya","Plan2",14.808000,27.182400
216,1977-04-03,"MALE","Apple","Gomelskaya","Plan2",14.808000,34.952000
217,1975-02-10,"FEMALE","Xiaomi","Grodnenskaya","Plan2",14.808000,30.760000
218,1970-03-02,"MALE","Apple","Minskaya","Plan1",20.712000,20.712000
219,1981-05-04,"FEMALE","Xiaomi","Minsk","Plan1",20.712000,44.034400
220,1964-06-20,"FEMALE","Apple","Gomelskaya","Plan3",12.312000,26.264000
221,1981-02-10,"MALE","Xiaomi","Minskaya","Plan3",12.312000,12.552000
222,1998-03-15,"MALE","Apple","Minsk","Plan1",20.712000,20.774400
223,1998-01-19,"MALE","Xiaomi","Gomelskaya","Plan3",12.312000,20.792000
224,1977-02-13,"MALE","Xiaomi","Gomelskaya","Plan1",20.712000,21.796800
225,1990-05-05,"FEMALE","Xiaomi","Minsk","Plan1",20.712000,39.592000
226,1978-03-11,"FEMALE","Apple","Mogilevskaya","Plan3",12.312000,15.424000
227,1978-04-01,"FEMALE","Apple","Minskaya","Plan1",20.712000,24.440000
228,1999-05-01,"MALE","Apple","Minsk","Plan3",12.312000,12.312000
229,1995-01-02,"MALE","Xiaomi","Minsk","Plan2",14.808000,22.328000
230,1974-03-06,"MALE","Apple","Minsk","Plan1",20.712000,20.712000
231,1988-02-01,"MALE","Apple","Gomelskaya","Plan1",20.712000,31.996800
232,1978-07-04,"FEMALE","Apple","Minsk","Plan3",12.312000,12.312000
233,1974-03-07,"MALE","Xiaomi","Brestskaya","Plan2",14.808000,20.800000
234,2000-05-17,"MALE","Apple","Gomelskaya","Plan1",20.712000,33.380800
235,2002-04-11,"FEMALE","Xiaomi","Grodnenskaya","Plan1",20.712000,24.905600
236,1995-01-12,"MALE","Apple","Minsk","Plan2",14.808000,16.865600
237,1973-07-02,"MALE","Xiaomi","Minsk","Plan1",20.712000,28.790400
238,1979-04-17,"FEMALE","Apple","Gomelskaya","Plan2",14.808000,24.696000
239,1983-07-03,"FEMALE","Xiaomi","Gomelskaya","Plan3",12.312000,17.504000
240,1957-06-04,"MALE","Apple","Minsk","Plan2",14.808000,37.792000
241,1995-01-03,"MALE","Xiaomi","Gomelskaya","Plan2",14.808000,37.851200
242,1997-07-08,"MALE","Apple","Minskaya","Plan3",12.312000,17.664000
243,1977-07-07,"FEMALE","Xiaomi","Mogilevskaya","Plan3",12.312000,12.312000
244,2000-02-11,"MALE","Xiaomi","Mogilevskaya","Plan2",14.808000,28.750000
245,1977-07-01,"FEMALE","Apple","Gomelskaya","Plan3",12.312000,14.712000
246,1981-05-21,"FEMALE","Apple","Grodnenskaya","Plan1",20.712000,26.832000
247,1976-07-04,"FEMALE","Apple","Brestskaya","Plan3",12.312000,12.352000
248,1969-01-03,"MALE","Apple","Grodnenskaya","Plan1",20.712000,20.836800
